Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1970000,0.47572267,0.032275993,141.3661971830986,0.10031923273919334,0.10031923273919334,1.0
1980000,0.43142143,0.021120982,187.8490566037736,-0.04940254606728284,-0.04940254606728284,1.0
1990000,0.4834043,0.024002895,153.71641791044777,0.08510445636599812,0.08510445636599812,1.0
2000000,0.37105158,0.014284569,190.12,-0.08198642061681163,-0.08198642061681163,1.0
2010000,0.4316727,0.017184157,178.57627118644066,-0.024716698626677195,-0.024716698626677195,1.0
2020000,0.45640105,0.012050569,165.66037735849056,0.06404484980381452,0.06404484980381452,1.0
2030000,0.43766657,0.021864908,194.9811320754717,0.04505552848180135,0.04505552848180135,1.0
2040000,0.32578278,0.02140317,209.33333333333334,-0.0387778114941385,-0.0387778114941385,1.0
2050000,0.31552994,0.02293386,193.55555555555554,-0.08540126570948849,-0.08540126570948849,1.0
2060000,0.3357075,0.024672588,191.97916666666666,-0.054965307315190635,-0.054965307315190635,1.0
2070000,0.42207345,0.026332494,181.83050847457628,0.059413768607994605,0.059413768607994605,1.0
2080000,0.34113556,0.02081221,210.46808510638297,-0.11052780877798796,-0.11052780877798796,1.0
2090000,0.38441795,0.024515167,192.87272727272727,0.05053330510854721,0.05053330510854721,1.0
2100000,0.32609788,0.023015335,194.7111111111111,-0.013962992197937436,-0.013962992197937436,1.0
2110000,0.309774,0.015489469,249.15384615384616,-0.20121370943693015,-0.20121370943693015,1.0
2120000,0.3275343,0.025090093,227.4,-0.07671215063468977,-0.07671215063468977,1.0
2130000,0.30536914,0.012778879,244.77272727272728,-0.23007411261399588,-0.23007411261399588,1.0
2140000,0.23528981,-0.0002956191,227.53846153846155,-0.07847012426608647,-0.07847012426608647,1.0
2150000,0.33720574,0.01026854,214.3469387755102,-0.10533336751783888,-0.10533336751783888,1.0
2160000,0.2984847,0.0074313832,206.3846153846154,-0.08671798127201888,-0.08671798127201888,1.0
2170000,0.3039956,0.002207552,255.52941176470588,-0.36320004143885204,-0.36320004143885204,1.0
2180000,0.31050333,-0.0018714416,226.82608695652175,-0.04177781326903237,-0.04177781326903237,1.0
2190000,0.34544683,0.0051894807,175.80327868852459,0.12074314204395795,0.12074314204395795,1.0
2200000,0.27485546,-0.0022658417,179.97916666666666,-0.03293753104905287,-0.03293753104905287,1.0
2210000,0.29407868,0.004357743,227.8409090909091,-0.10411367379128933,-0.10411367379128933,1.0
2220000,0.2985609,0.010073794,197.05357142857142,-0.05770763532634367,-0.05770763532634367,1.0
2230000,0.31178552,0.0133640915,196.54347826086956,-0.04546379557122355,-0.04546379557122355,1.0
2240000,0.2874352,0.014150214,241.8372093023256,-0.27238763331673865,-0.27238763331673865,1.0
2250000,0.25785115,0.010375938,229.2608695652174,-0.17188640023497018,-0.17188640023497018,1.0
2260000,0.29171616,0.010270769,211.67441860465115,-0.08310609073801474,-0.08310609073801474,1.0
2270000,0.25560945,0.0056089913,221.33333333333334,-0.16860166246571193,-0.16860166246571193,1.0
2280000,0.32947946,-0.001440326,198.59574468085106,-0.13263464633088845,-0.13263464633088845,1.0
2290000,0.2941672,0.0028352947,206.12,-0.11238098357404981,-0.11238098357404981,1.0
2300000,0.27043793,-0.005459077,213.17021276595744,-0.08183691175060069,-0.08183691175060069,1.0
2310000,0.29310188,0.005354343,173.14285714285714,-0.04081874379986211,-0.04081874379986211,1.0
2320000,0.21711743,0.0049220114,254.73170731707316,-0.29008337315171956,-0.29008337315171956,1.0
2330000,0.27292463,0.009606826,197.48936170212767,0.01329075037798983,0.01329075037798983,1.0
2340000,0.31126076,0.011091108,197.53846153846155,0.07630814611911774,0.07630814611911774,1.0
2350000,0.30511737,0.009335779,209.45098039215685,-0.024660031050443648,-0.024660031050443648,1.0
2360000,0.3750953,0.02116083,177.94545454545454,0.09229088032787497,0.09229088032787497,1.0
2370000,0.34586617,0.01411861,221.35,-0.07366669614140581,-0.07366669614140581,1.0
2380000,0.31911916,0.012389558,243.2439024390244,-0.18433336659175595,-0.18433336659175595,1.0
2390000,0.36092034,0.02241157,177.89830508474577,0.008384147690514387,0.008384147690514387,1.0
2400000,0.35858637,0.01888424,209.16,-0.08848670244216919,-0.08848670244216919,1.0
2410000,0.29045895,0.015173794,165.89830508474577,0.014350541706742912,0.014350541706742912,1.0
2420000,0.29228753,0.00057397305,235.52272727272728,-0.19681485295295714,-0.19681485295295714,1.0
2430000,0.28979498,0.006879496,218.97619047619048,-0.09531748844754129,-0.09531748844754129,1.0
2440000,0.37005463,0.021142708,176.80645161290323,0.07522040521425585,0.07522040521425585,1.0
2450000,0.35153547,0.014247307,182.18867924528303,-0.03806921544502366,-0.03806921544502366,1.0
2460000,0.29801172,0.015355419,164.2089552238806,-0.05242291115113159,-0.05242291115113159,1.0
2470000,0.34286144,0.008252733,151.65079365079364,0.11609137202462842,0.11609137202462842,1.0
2480000,0.32383126,0.004809866,179.08163265306123,-0.025333363115787506,-0.025333363115787506,1.0
2490000,0.30233473,-0.008170153,182.5,0.005618150667710738,0.005618150667710738,1.0
2500000,0.2988727,0.006859394,167.70689655172413,0.019172390473300015,0.019172390473300015,1.0
2510000,0.29758206,-0.0006651698,211.52173913043478,0.014751739007361393,0.014751739007361393,1.0
2520000,0.30354154,0.015774174,177.72131147540983,0.06692219451069832,0.06692219451069832,1.0
2530000,0.2916199,0.015540874,190.84615384615384,0.036540852402741054,0.036540852402741054,1.0
2540000,0.2222322,-0.0011992655,234.89743589743588,-0.09568424405235994,-0.09568424405235994,1.0
2550000,0.28821403,0.013923631,185.85185185185185,0.018882690480461827,0.018882690480461827,1.0
2560000,0.29452166,0.013784445,178.7017543859649,0.09172411429984816,0.09172411429984816,1.0
2570000,0.2709455,0.012156989,188.9056603773585,0.022301251355272073,0.022301251355272073,1.0
2580000,0.2752894,0.012517818,208.9795918367347,-0.007455813489398178,-0.007455813489398178,1.0
2590000,0.2451694,0.026405416,195.22448979591837,-0.009462615361019057,-0.009462615361019057,1.0
2600000,0.27248323,0.02149798,190.79166666666666,-0.13732656790893905,-0.13732656790893905,1.0
2610000,0.27415216,0.01896313,227.08163265306123,-0.10971531209846337,-0.10971531209846337,1.0
2620000,0.26082984,0.018237868,180.54166666666666,-0.09875513081039701,-0.09875513081039701,1.0
2630000,0.27173433,0.00095021643,196.5818181818182,-0.04489509043870149,-0.04489509043870149,1.0
2640000,0.26961577,0.00028829917,212.91666666666666,-0.017888923320505352,-0.017888923320505352,1.0
2650000,0.25768813,0.002648611,222.0,-0.3057971400735171,-0.3057971400735171,1.0
2660000,0.2309568,0.00013083842,196.64,-0.058307224190702625,-0.058307224190702625,1.0
2670000,0.22948697,-0.011169312,211.04347826086956,-0.0202174235297286,-0.0202174235297286,1.0
2680000,0.28704515,0.004166806,163.5,0.11976764994588765,0.11976764994588765,1.0
2690000,0.31158936,0.02371744,165.70689655172413,0.05780699090999469,0.05780699090999469,1.0
2700000,0.30476075,0.024208682,165.03636363636363,0.06999997368880681,0.06999997368880681,1.0
2710000,0.30272838,0.024950951,176.38709677419354,0.07608599167677664,0.07608599167677664,1.0
2720000,0.31706998,0.02669276,156.8,0.1462777517735958,0.1462777517735958,1.0
2730000,0.29363748,0.01627037,217.6153846153846,-0.05085900898736257,-0.05085900898736257,1.0
2740000,0.26546755,0.020029405,190.53488372093022,-0.034705456606177396,-0.034705456606177396,1.0
2750000,0.30455294,0.01679972,201.05555555555554,-0.0524402842769083,-0.0524402842769083,1.0
2760000,0.22312437,0.007456636,229.2051282051282,-0.25589170176535847,-0.25589170176535847,1.0
2770000,0.30130607,0.011001582,194.46,-0.1651533630490303,-0.1651533630490303,1.0
2780000,0.23581026,0.004877605,228.58,-0.18138670548796654,-0.18138670548796654,1.0
2790000,0.22349772,-0.008284153,215.66666666666666,-0.1404741088549296,-0.1404741088549296,1.0
2800000,0.2133885,-0.013298808,214.6086956521739,-0.051202932129735534,-0.051202932129735534,1.0
2810000,0.26125553,0.007750032,163.91228070175438,0.14397658446901723,0.14397658446901723,1.0
2820000,0.29615772,0.010846796,210.77551020408163,-0.09730615649296313,-0.09730615649296313,1.0
2830000,0.27146745,0.013826252,203.0612244897959,-0.014544242498826007,-0.014544242498826007,1.0
2840000,0.27339697,0.0147812255,207.08510638297872,-0.048397195148975294,-0.048397195148975294,1.0
2850000,0.24028994,0.012120861,234.6086956521739,-0.002088925904697842,-0.002088925904697842,1.0
2860000,0.28262997,0.029356474,171.4909090909091,-0.0028424556959759104,-0.0028424556959759104,1.0
2870000,0.24621718,0.019817766,187.9245283018868,-0.04995600569922969,-0.04995600569922969,1.0
2880000,0.27725133,0.02772852,189.3,0.0025332987308502196,0.0025332987308502196,1.0
2890000,0.26179904,0.014382586,186.52631578947367,-0.016172443869812734,-0.016172443869812734,1.0
2900000,0.28290617,0.02710312,178.46,0.10693330645561218,0.10693330645561218,1.0
2910000,0.2801734,0.017166084,199.82692307692307,-0.1652692646647875,-0.1652692646647875,1.0
2920000,0.28416386,0.013832825,175.5084745762712,0.14778732791029173,0.14778732791029173,1.0
2930000,0.27186906,0.020227503,154.94736842105263,0.09378733408862147,0.09378733408862147,1.0
2940000,0.30978256,0.028007003,199.38983050847457,0.1129039293628628,0.1129039293628628,1.0
